"","A","D","H","results","B365H","B365D","B365A"
"482",0.39,0.05,0.56,"D",2.88,3.3,2.4
"483",0.36,0.08,0.56,"D",2.25,3.3,3.2
"484",1,0,0,"A",9,4.75,1.36
"485",0.35,0.07,0.58,"H",2.9,3.3,2.38
"486",0.11,0.27,0.62,"D",1.91,3.4,4
"487",0.07,0.27,0.66,"H",2.5,3.25,2.8
"488",0.19,0.31,0.5,"H",2.2,3.25,3.2
"489",0.01,0.02,0.97,"H",1.91,3.4,4
"490",0.05,0.02,0.93,"H",1.4,4.5,8
"491",0.13,0.13,0.74,"H",1.85,3.4,4.2
"492",0.44,0.08,0.48,"D",2.4,3.3,2.88
"493",0.09,0.05,0.86,"H",1.83,3.5,4.33
"494",0.93,0.07,0,"A",9.5,5.25,1.3
"495",0.06,0.49,0.45,"D",1.73,3.5,5
"496",0.68,0.08,0.24,"A",2.88,3.3,2.4
"497",0.65,0.03,0.32,"A",3.25,3.25,2.25
"498",0.67,0.3,0.03,"A",2.5,3.4,2.7
"499",0.07,0.34,0.59,"D",2,3.4,3.75
"500",0.13,0.03,0.84,"H",2.5,3.25,2.8
"501",0.38,0.06,0.56,"H",2.38,3.25,3
"502",0.59,0.05,0.36,"H",2.5,3.3,2.75
"503",0.08,0.17,0.75,"A",1.36,4.5,9
"504",0.06,0.43,0.51,"D",1.91,3.4,4
"505",0.24,0.01,0.75,"H",2.1,3.3,3.5
"506",0.1,0.12,0.78,"H",1.62,3.75,5.5
"507",0.56,0.43,0.01,"D",9,5,1.33
"508",0,0.03,0.97,"H",1.4,4.33,8.5
"509",0.12,0.11,0.77,"H",1.83,3.5,4.33
"510",0.17,0.38,0.45,"D",1.91,3.4,4
"511",0.15,0.06,0.79,"H",2.4,3.3,2.88
"512",0.04,0.22,0.74,"H",1.62,3.6,6
"513",0.05,0.07,0.88,"H",1.4,4.5,8
"514",0.93,0.04,0.03,"A",10,5.5,1.29
"515",0.07,0.15,0.78,"A",2.2,3.2,3.4
"516",0.03,0.15,0.82,"H",1.8,3.5,4.5
"517",0.38,0.03,0.59,"H",2.8,3.25,2.5
"518",0.01,0.12,0.87,"D",1.5,4,7
"519",0.34,0.24,0.42,"A",2.25,3.25,3.25
"520",0.09,0.19,0.72,"A",1.9,3.3,4
"521",0.26,0.36,0.38,"D",2.5,3.25,2.8
"522",0.02,0.08,0.9,"H",2.1,3.3,3.5
"523",0.32,0.23,0.45,"D",2.4,3.3,2.88
"524",0.76,0.14,0.1,"A",5.5,3.8,1.57
"525",0.38,0.04,0.58,"H",3.2,3.25,2.25
"526",0.1,0.21,0.69,"D",1.8,3.5,4.33
"527",0.06,0.17,0.77,"H",2,3.5,3.6
"528",0.94,0.03,0.03,"A",3.2,3.3,2.25
"529",0.28,0.03,0.69,"H",3,3.2,2.3
"530",0.06,0.08,0.86,"H",2.1,3.2,3.6
"531",0.07,0.08,0.85,"H",1.11,9,19
"532",0.27,0.3,0.43,"D",1.67,3.8,5
"533",0.07,0.09,0.84,"H",2.1,3.2,3.6
"534",0.63,0.13,0.24,"H",1.73,3.8,4.5
"535",0.06,0.6,0.34,"A",2,3.3,3.6
"536",0.04,0.45,0.51,"H",3,3.25,2.38
"537",0.81,0.1,0.09,"A",6.5,4.5,1.44
"538",0.7,0.07,0.23,"A",4.75,4.2,1.65
"539",0,0.02,0.98,"H",1.29,5.5,9.5
"540",0.65,0.13,0.22,"D",4,3.6,1.85
"541",0,0,1,"H",1.04,13,34
"542",0.93,0.07,0,"D",10,5.5,1.29
"543",0,0.52,0.48,"D",2.35,3.4,2.9
"544",0.05,0.35,0.6,"H",1.3,5.25,9.5
"545",0.02,0.05,0.93,"H",2.2,3.6,3
"546",0.2,0.18,0.62,"A",2.1,3.25,3.4
"547",0.69,0.18,0.13,"A",2.9,3.2,2.37
"548",0.29,0.03,0.68,"H",2.2,3.25,3.25
"549",0,0.03,0.97,"H",1.73,3.4,5.25
"550",0,0.14,0.86,"D",1.17,7,15
"551",0,0.14,0.86,"H",2.05,3.3,3.6
"552",0.03,0.1,0.87,"H",1.17,7,15
"553",0.11,0.62,0.27,"H",2.1,3.3,3.5
"554",0.34,0.08,0.58,"H",1.8,3.5,4.5
"555",0.23,0.03,0.74,"H",1.4,4.5,7.5
"556",0,0.06,0.94,"H",2.4,3.2,3
"557",0.16,0.17,0.67,"H",2.1,3.3,3.5
"558",0.52,0.31,0.17,"D",2.8,3.25,2.5
"559",0,0,1,"H",1.14,7,21
"560",0.79,0.08,0.13,"A",11,5.75,1.25
"561",0.04,0.13,0.83,"H",1.75,3.4,5
"562",0.46,0.12,0.42,"A",2.6,3.2,2.62
"563",0.25,0.15,0.6,"H",2.1,3.25,3.5
"564",0.03,0.03,0.94,"H",1.29,5,11
"565",0.92,0.03,0.05,"A",10,5,1.3
"566",0.02,0.15,0.83,"D",1.4,4.33,7.5
"567",0.22,0.03,0.75,"H",2,3.5,3.6
"568",0.02,0.35,0.63,"D",1.5,4.33,6
"569",0,0.1,0.9,"H",2.5,3.3,2.75
"570",0.04,0.07,0.89,"H",1.91,3.4,4
"571",0.38,0.02,0.6,"H",2.1,3.25,3.6
"572",0.01,0.26,0.73,"D",2.1,3.3,3.5
"573",0.83,0.08,0.09,"A",8.5,5,1.33
"574",0.02,0.01,0.97,"H",2,3.3,3.8
"575",0.01,0.02,0.97,"H",1.29,5.5,9.5
"576",0.36,0.15,0.49,"H",2.4,3.2,3
"577",0.3,0.04,0.66,"H",1.8,3.4,4.33
"578",0.08,0.04,0.88,"H",1.62,3.75,5.5
"579",0.04,0.02,0.94,"H",1.2,6.25,13
"580",0.31,0,0.69,"H",2.1,3.3,3.5
"581",0.08,0.06,0.86,"D",1.8,3.5,4.5
"582",0.95,0,0.05,"A",12,5.5,1.25
"583",0.38,0.17,0.45,"H",2.1,3.25,3
"584",0.54,0.13,0.33,"A",3,3.25,2.38
"585",0.8,0.05,0.15,"A",12,5.5,1.25
"586",0.03,0.01,0.96,"H",1.17,7,15
"587",0.1,0.09,0.81,"D",2,3.5,3.6
"588",0.06,0.08,0.86,"H",2.25,3.25,3.2
"589",0.08,0.02,0.9,"A",1.67,3.75,5
"590",0.26,0.02,0.72,"A",2.75,3.3,2.5
"591",0.11,0.54,0.35,"D",1.8,3.5,4.5
"592",0.05,0.11,0.84,"A",1.62,3.6,6
"593",0.11,0.1,0.79,"A",1.67,3.75,5
"594",0.51,0.07,0.42,"A",3.25,3.25,2.2
"595",0.02,0.12,0.86,"H",1.73,3.6,4.75
"596",0.12,0.04,0.84,"H",1.83,3.5,4.33
"597",0.05,0.04,0.91,"H",1.73,3.75,4.5
"598",0.01,0.04,0.95,"H",2.2,3.2,3.4
"599",0.29,0.14,0.57,"A",2.1,3.25,3.6
"600",0,0,1,"H",1.33,5,9
"601",0.07,0.52,0.41,"D",2.2,3.2,3.4
"602",0.54,0.08,0.38,"H",2,3.4,3.75
"603",0.01,0.03,0.96,"H",1.83,3.5,4.2
"604",0.04,0.07,0.89,"H",2.37,3.2,2.62
"605",0.02,0.04,0.94,"H",2.2,3.2,3.4
"606",0.27,0.42,0.31,"H",1.95,3.4,3.9
"607",0,0,1,"H",1.1,8.5,26
"608",0.13,0.06,0.81,"A",1.73,3.5,5
"609",0.09,0.28,0.63,"D",1.91,3.5,3.9
"610",0.46,0.06,0.48,"A",3.5,3.25,1.9
"611",0.05,0.1,0.85,"D",1.4,4.5,7.5
"612",0.11,0.47,0.42,"D",2.05,3.25,3.75
"613",0.47,0.03,0.5,"A",2.8,3.25,2.5
"614",0.23,0.11,0.66,"A",3.1,3.25,2.3
"615",0.63,0.1,0.27,"A",3.25,3.5,2.1
"616",0.05,0.06,0.89,"D",2,3.4,3.75
"617",0.18,0.53,0.29,"H",1.9,3.25,3.5
"618",0.14,0.25,0.61,"D",1.91,3.4,4
"619",0.02,0.04,0.94,"H",1.62,3.75,5.5
"620",0.07,0.22,0.71,"H",1.62,3.75,5.5
"621",0.03,0.1,0.87,"D",1.44,4.33,7
"622",0.62,0.26,0.12,"A",10,5.25,1.29
"623",0.06,0.04,0.9,"H",1.83,3.4,4.5
"624",0.86,0.05,0.09,"A",6.5,4,1.4
"625",0.03,0.47,0.5,"H",2.2,3.4,3.2
"626",0.9,0.08,0.02,"A",13,6.5,1.2
"627",0.29,0.07,0.64,"A",2.8,3.25,2.5
"628",0.72,0.03,0.25,"A",4.33,3.4,1.85
"629",0.08,0.02,0.9,"H",1.73,3.4,4.5
"630",0.07,0.14,0.79,"D",1.91,3.4,4
"631",0.17,0.18,0.65,"A",1.8,3.25,4
"632",0.52,0.09,0.39,"H",2.9,3.25,2.4
"633",0.02,0.05,0.93,"H",1.67,3.6,5.25
"634",0.17,0.03,0.8,"A",1.8,3.25,5
"635",0.1,0.06,0.84,"H",2.2,3.3,3.25
"636",0.65,0.3,0.05,"D",10,6,1.25
"637",0.01,0.02,0.97,"H",1.44,4.2,7.5
"638",0.39,0.04,0.57,"H",2.2,3.25,2.8
"639",0,0,1,"H",1.07,11,23
"640",0.05,0.1,0.85,"H",2,3.4,3.75
"641",0.06,0.3,0.64,"D",1.53,3.75,5
"642",0.05,0.01,0.94,"H",1.73,3.6,4.75
"643",0.84,0.13,0.03,"A",15,7,1.17
"644",0.22,0.28,0.5,"A",1.83,3.5,4.33
"645",0.12,0.05,0.83,"A",1.8,3.25,5
"646",0.1,0.02,0.88,"H",2,3.4,3.75
"647",0.47,0.08,0.45,"A",2.5,3.25,2.8
"648",0.59,0.17,0.24,"H",9,5,1.33
"649",0.61,0.13,0.26,"A",2.6,3.25,2.6
"650",0.66,0.23,0.11,"D",3.5,3.3,2.1
"651",0.06,0.03,0.91,"H",1.67,3.5,5.5
"652",0,0,1,"H",1.14,7.5,17
"653",0.02,0.33,0.65,"H",1.83,3.5,4.33
"654",0.44,0.12,0.44,"D",2.1,3.3,3.5
"655",0.08,0.07,0.85,"A",1.25,5.25,13
"656",0.02,0.38,0.6,"D",2,3.3,3.75
"657",0.01,0.02,0.97,"D",1.53,4,6
"658",0.03,0.15,0.82,"H",2.3,3.25,3
"659",0.01,0.06,0.93,"H",1.44,4.2,7.5
"660",0.66,0.03,0.31,"A",2.1,3.4,3.4
"661",0.49,0.51,0,"D",15,8,1.14
"662",0.87,0.1,0.03,"A",7,4.33,1.44
"663",0.11,0.27,0.62,"H",2,3.4,3.75
"664",0.23,0.13,0.64,"H",3.5,3.3,2.1
"665",0.51,0.14,0.35,"D",2.1,3.4,3.4
"666",0.07,0.12,0.81,"H",2.1,3.25,3.6
"667",0.13,0.08,0.79,"A",2.88,3.3,2.4
"668",0.02,0.1,0.88,"D",2.05,3.3,3.6
"669",0.04,0.09,0.87,"H",1.13,7.5,21
"670",0.6,0.03,0.37,"H",2.2,3.3,3.25
"671",0.04,0.62,0.34,"H",1.57,3.8,6
"672",0.13,0.15,0.72,"A",1.4,4.33,7.5
"673",0.13,0.12,0.75,"D",2.1,3.4,3.4
"674",0.07,0.03,0.9,"H",1.95,3.3,4
"675",0.82,0.13,0.05,"A",8.5,5,1.33
"676",0.67,0.04,0.29,"A",2.3,3.3,3.1
"677",0,0.15,0.85,"D",2.3,3.3,3.1
"678",0.02,0.44,0.54,"D",1.8,3.3,4.5
"679",0.07,0.08,0.85,"H",1.85,3.4,4.33
"680",0.12,0.06,0.82,"A",2.1,3.3,3.5
"681",0.06,0.04,0.9,"H",1.57,4,5.5
"682",0.22,0.02,0.76,"H",2.6,3.25,2.7
"683",0.07,0.21,0.72,"D",2.38,3.25,3
"684",0.36,0.1,0.54,"A",2.5,3.25,3
"685",0,0,1,"H",1.14,7.5,17
"686",0.04,0.06,0.9,"H",2.1,3.4,3.4
"687",0.62,0.23,0.15,"A",2.7,3.2,2.6
"688",0.14,0.03,0.83,"H",2.4,3.3,2.9
"689",0.97,0.03,0,"A",8,4.75,1.36
"690",0.22,0.04,0.74,"H",2.2,3.25,3.25
"691",0,0.01,0.99,"H",1.14,7.5,17
"692",0.44,0.14,0.42,"H",2.9,3.25,2.4
"693",0.02,0,0.98,"H",2,3.3,3.8
"694",0.02,0.13,0.85,"H",2,3.3,3.8
"695",0.1,0.01,0.89,"A",2,3.4,3.75
"696",0.01,0.13,0.86,"D",1.6,3.8,5.75
"697",0.04,0.08,0.88,"H",1.83,3.3,4.33
"698",0.18,0.25,0.57,"D",2.3,3.25,2.8
"699",0.96,0.01,0.03,"A",5.25,4,1.62
"700",0.42,0.06,0.52,"A",2.3,3.4,3
"701",0.47,0.04,0.49,"A",2.15,3.25,3.4
"702",0.06,0.04,0.9,"H",2,3.5,3.6
"703",0.12,0.06,0.82,"A",1.95,3.5,3.7
"704",0.59,0.06,0.35,"A",2.8,3.25,2.5
"705",0.83,0.11,0.06,"A",5.5,3.8,1.62
"706",0.03,0.14,0.83,"H",2.3,3.2,3.1
"707",0.05,0.01,0.94,"H",2.3,3.25,3.1
"708",0.08,0.05,0.87,"H",1.53,4,6
"709",0.4,0.07,0.53,"A",2.9,3.3,2.4
"710",0,0.01,0.99,"H",1.11,8.5,21
"711",0.4,0.13,0.47,"D",2.6,3.2,2.75
"712",0.11,0.53,0.36,"D",2.1,3.25,3.6
"713",0.03,0.06,0.91,"D",1.75,3.5,4.75
"714",0.08,0.19,0.73,"D",1.91,3.4,4
"715",0.13,0.08,0.79,"H",1.91,3.4,4
"716",0.74,0.1,0.16,"A",4.33,3.3,1.83
"717",0.79,0.1,0.11,"A",3.8,3.4,2
"718",0.3,0.16,0.54,"H",2.88,3.3,2.4
"719",0.06,0.03,0.91,"H",1.91,3.4,4
"720",0.37,0.56,0.07,"D",2.75,3.6,2.38
"721",0.42,0.03,0.55,"A",2.4,3.25,2.9
"722",0.02,0.02,0.96,"H",1.62,3.75,5.5
"723",0,0,1,"H",1.2,6,15
"724",0.02,0.14,0.84,"H",1.44,4.5,6.5
"725",0.01,0.07,0.92,"H",2,3.4,3.75
"726",0.17,0.06,0.77,"H",1.95,3.5,3.75
"727",0.08,0,0.92,"H",2,3.4,3.75
"728",0.06,0.23,0.71,"D",2,3.2,3.75
"729",0.71,0.1,0.19,"A",3.3,3.4,2.15
"730",0.05,0.02,0.93,"A",1.3,5.5,9
"731",0.59,0.22,0.19,"H",7.5,4.5,1.4
"732",0.6,0.04,0.36,"A",4,3.8,1.8
"733",0.16,0.71,0.13,"D",2.1,3.1,3.75
"734",0.08,0.04,0.88,"H",1.73,3.75,4.5
"735",0.72,0.21,0.07,"H",2.9,3.3,2.4
"736",0,0.09,0.91,"H",2.2,3.25,3.3
"737",0.01,0.05,0.94,"H",1.8,3.5,4.75
"738",0.08,0.4,0.52,"H",2.2,3.25,3.2
"739",0.03,0.12,0.85,"H",1.53,4,6
"740",0.17,0.03,0.8,"A",1.57,4,5.5
"741",0.09,0.03,0.88,"H",1.44,4.33,7
"742",0.21,0.14,0.65,"A",2.1,3.25,3.5
"743",0.89,0.06,0.05,"A",3,3.5,2.25
"744",0,0.07,0.93,"H",1.44,4.33,7
"745",0.61,0.17,0.22,"D",2.6,3.25,2.7
"746",0.04,0.23,0.73,"H",1.66,3.6,5
"747",0.24,0.29,0.47,"H",2.25,3.4,3.1
"748",0.04,0.59,0.37,"H",1.73,3.6,4.75
"749",0.17,0.06,0.77,"H",3.2,3.3,2.25
"750",0.75,0.16,0.09,"D",5.5,3.75,1.62
"751",0.41,0.58,0.01,"D",2.9,3.3,2.4
"752",0.46,0.43,0.11,"D",11,5,1.3
"753",0.16,0.12,0.72,"H",2.25,3.4,3.1
"754",0.52,0.07,0.41,"A",2.4,3.25,2.8
"755",0.24,0.05,0.71,"H",2.1,3.4,3.4
"756",0.03,0.03,0.94,"H",2.75,3.5,2.4
"757",0.25,0.16,0.59,"D",1.7,3.75,4.75
"758",0.04,0.03,0.93,"H",1.29,5.5,9.5
"759",0,0.48,0.52,"D",1.53,4.33,5.5
"760",0,0.15,0.85,"H",1.53,4.33,5.5
"761",0.48,0.03,0.49,"H",1.33,5,8.5
"762",0.01,0.08,0.91,"D",1.65,3.4,6
"763",0.89,0.04,0.07,"A",4,3.8,1.8
"764",0.15,0.13,0.72,"H",1.6,3.8,5.5
"765",0.41,0.18,0.41,"D",2.2,3.4,3.2
"766",0.36,0.04,0.6,"A",5.5,4.33,1.53
"767",0.77,0.17,0.06,"A",3.25,3.5,2.1
"768",0.71,0.08,0.21,"A",2.5,2.75,3.3
"769",0.76,0.08,0.16,"H",1.8,3,5.75
"770",0,0.01,0.99,"H",1.13,8.5,17
"771",0.5,0.1,0.4,"A",3,3.5,2.25
"772",0.11,0.04,0.85,"A",2.1,3.25,3.4
"773",0.01,0.21,0.78,"D",2.38,3.25,3
"774",0.37,0.18,0.45,"D",2.3,3.25,3
"775",0.03,0.06,0.91,"H",1.22,5.5,13
"776",0.1,0.17,0.73,"H",1.9,3.25,4
"777",0,0.02,0.98,"H",1.57,4,5.5
"778",0.02,0.59,0.39,"D",1.83,3.5,4.33
"779",0.18,0.7,0.12,"D",2.2,3.3,3.25
"780",0.08,0.06,0.86,"A",1.73,3.6,4.75
"781",0.05,0.02,0.93,"H",1.06,12,26
"782",0.01,0.04,0.95,"H",1.14,8,16
"783",0.28,0.57,0.15,"A",2.2,3.2,3.4
"784",0.1,0.08,0.82,"H",2,3.3,3.8
"785",0.44,0.17,0.39,"A",2.5,3.2,2.88
"786",0.02,0.53,0.45,"D",1.44,4.2,7.5
"787",0.09,0.05,0.86,"A",1.73,3.6,4.75
"788",0.03,0.04,0.93,"H",1.91,3.4,4
"789",0.12,0.57,0.31,"D",1.67,3.75,5
"790",0.58,0.11,0.31,"A",2.62,3.2,2.6
"791",0.02,0.12,0.86,"D",1.4,4.5,7.5
"792",0.22,0.34,0.44,"D",1.95,3.3,4
"793",0,0.04,0.96,"H",1.73,3.5,5
"794",0.17,0.26,0.57,"A",2,3.3,3.8
"795",0.01,0.27,0.72,"D",2,3.2,3.75
"796",0,0,1,"H",1.06,11,34
"797",0.7,0.3,0,"A",15,7,1.17
"798",0,0.01,0.99,"H",1.44,4.33,7
"799",0.01,0.38,0.61,"H",1.4,4.5,8
"800",0.13,0.08,0.79,"D",2.63,3.25,2.63
"801",0.21,0.32,0.47,"A",3,3.25,2.38
"802",0.38,0.29,0.33,"D",3,3.2,2.38
"803",0.42,0.48,0.1,"D",11,6.5,1.22
"804",0.31,0.05,0.64,"H",3,3.25,2.38
"805",0.03,0.25,0.72,"H",1.91,3.4,4
"806",0.03,0.45,0.52,"D",2.1,3.3,3.5
"807",0.01,0.06,0.93,"H",1.06,12,26
"808",0.67,0.31,0.02,"A",6,4,1.53
"809",0.05,0.06,0.89,"H",2,3.3,3.8
"810",0.16,0.37,0.47,"A",1.91,3.5,4
"811",0.36,0.39,0.25,"D",2.25,3.25,3.2
"812",0.04,0.07,0.89,"H",2.2,3.2,3.4
"813",0.04,0.06,0.9,"H",1.17,6.5,17
"814",0.47,0.2,0.33,"A",3.4,3.4,2.1
"815",0.13,0.13,0.74,"A",2,3.4,3.75
"816",0.05,0.07,0.88,"H",1.83,3.5,4.33
"817",0.04,0.09,0.87,"H",1.83,3.4,4.5
"818",0.33,0.21,0.46,"A",2.9,3.25,2.4
"819",0.14,0.05,0.81,"H",1.5,3.75,7
"820",0.09,0.02,0.89,"H",2.75,3.2,2.6
"821",0.07,0.07,0.86,"H",1.5,4,7
"822",0.07,0.01,0.92,"H",1.57,4,5.5
"823",0.06,0.22,0.72,"H",2.1,3.25,3.5
"824",0.04,0.22,0.74,"D",2.75,3.3,2.5
"825",0.33,0.08,0.59,"H",3,3.2,2.4
"826",0.86,0.09,0.05,"A",5,3.3,1.72
"827",0.04,0.22,0.74,"H",1.62,3.8,5.5
"828",0.06,0.59,0.35,"D",2.25,3.1,3.4
"829",0.41,0.1,0.49,"A",2.4,3.5,2.8
"830",0.19,0.14,0.67,"H",1.73,3.5,5
"831",0.1,0.25,0.65,"D",1.62,3.75,5.5
"832",0.09,0.06,0.85,"A",2,3.2,4
"833",0.24,0.2,0.56,"D",2.5,3.2,2.75
"834",0.11,0.09,0.8,"D",1.8,3.5,4.5
"835",0.12,0.12,0.76,"A",2.1,3.25,3.6
"836",0.06,0.05,0.89,"H",1.4,4.33,8.5
"837",0.85,0.06,0.09,"A",8,4.5,1.4
"838",0.52,0.16,0.32,"A",2.2,3.25,3.25
"839",0,0.09,0.91,"H",2.1,3.4,3.4
"840",0.12,0.35,0.53,"D",2.5,3.2,2.75
"841",0.05,0.36,0.59,"D",1.91,3.4,4
"842",0.07,0.79,0.14,"D",2.2,3.25,3.3
"843",0.04,0.02,0.94,"H",1.91,3.5,4
"844",0.4,0.01,0.59,"H",3,3.25,2.38
"845",0.06,0.07,0.87,"A",2.25,3.2,3.25
"846",0.87,0.04,0.09,"A",11,5,1.29
"847",0.09,0.01,0.9,"A",1.4,4.5,8
"848",0.15,0.67,0.18,"D",2.6,3.2,2.75
"849",0.06,0.04,0.9,"H",1.67,3.75,5
"850",0.01,0.32,0.67,"H",1.07,11,26
"851",0.02,0.08,0.9,"A",1.73,3.5,5
"852",0.01,0.08,0.91,"H",1.61,3.4,6
"853",0.29,0.07,0.64,"A",2.5,3.2,2.8
"854",0.43,0.08,0.49,"A",2.9,3.3,2.4
"855",0,0.17,0.83,"D",1.83,3.4,4.5
"856",0.02,0.02,0.96,"H",1.2,6.5,15
"857",0.11,0.11,0.78,"A",2,3.4,3.75
"858",0.03,0.03,0.94,"H",1.83,3.5,4.33
"859",0.65,0.27,0.08,"D",12,6,1.22
"860",0.14,0.06,0.8,"A",1.62,3.75,5.5
"861",0.21,0.65,0.14,"D",3.25,3.3,2.2
"862",0.08,0.02,0.9,"H",2,3.4,3.75
"863",0.39,0.19,0.42,"H",6,3.8,1.53
"864",0.58,0.04,0.38,"A",3.1,3.3,2.3
"865",0.4,0.1,0.5,"D",1.73,3.5,5
"866",0.9,0.02,0.08,"A",9,5,1.33
"867",0.09,0.1,0.81,"D",2.3,3.2,3.2
"868",0.12,0.04,0.84,"A",1.83,3.5,4.33
"869",0.12,0.02,0.86,"H",3,3.2,2.4
"870",0.66,0.17,0.17,"H",9.5,5,1.33
"871",0.38,0.04,0.58,"D",3.75,3.4,2
"872",0.02,0.03,0.95,"A",1.62,3.75,5.5
"873",0.04,0.14,0.82,"H",1.73,3.5,5
"874",0.01,0.03,0.96,"H",1.08,10,26
"875",0.03,0.03,0.94,"H",1.36,4.5,9
"876",0.02,0.09,0.89,"H",2.5,3.2,2.8
"877",0.06,0.11,0.83,"H",1.57,3.75,6
"878",0.06,0.47,0.47,"D",1.36,4.33,9
"879",0.35,0.06,0.59,"H",2.8,3.25,2.5
"880",0.28,0.06,0.66,"D",2,3.3,3.75
"881",0,0,1,"H",1.08,9.5,26
"882",0.06,0.04,0.9,"H",1.62,3.75,5.5
"883",0.01,0.03,0.96,"H",1.83,3.6,4.2
"884",0.01,0.11,0.88,"H",1.25,5.75,11
"885",0.01,0.07,0.92,"H",2.3,3.2,3.2
"886",0.12,0.03,0.85,"A",2.3,3.2,3.2
"887",0.03,0.01,0.96,"H",2.25,3.25,3.2
"888",0.51,0.26,0.23,"D",4,3.4,1.91
"889",0.04,0.13,0.83,"H",1.44,4.1,7
"890",0.02,0.21,0.77,"D",2,3.4,3.75
"891",0.07,0.04,0.89,"A",1.73,3.5,5
"892",0.04,0.01,0.95,"H",1.91,3.3,4.2
"893",0.97,0,0.03,"A",8,4.75,1.36
"894",0.04,0.03,0.93,"H",2.4,3.2,2.87
"895",0.22,0.48,0.3,"D",2.25,3.25,3.2
"896",0,0.02,0.98,"H",1.08,11,26
"897",0.24,0.19,0.57,"D",1.91,3.3,4.2
"898",0.25,0.2,0.55,"D",2.38,3.25,3
"899",0.01,0.03,0.96,"H",1.83,3.4,4.5
"900",0.07,0.04,0.89,"H",1.62,3.6,6
"901",0.27,0.39,0.34,"A",3.5,3.3,2.1
"902",0,0,1,"H",1.13,8,21
"903",0.1,0.1,0.8,"H",3.1,3.25,2.3
"904",0.19,0.1,0.71,"H",1.75,3.5,4.5
"905",0.02,0.13,0.85,"H",2.5,3.2,2.88
"906",0.89,0.05,0.06,"A",7,4.33,1.44
"907",0.01,0.1,0.89,"H",1.53,3.8,6.5
"908",0.04,0.06,0.9,"H",1.33,4.75,10
"909",0.19,0.19,0.62,"H",2.8,3.25,2.5
"910",0.82,0.13,0.05,"A",13,6,1.22
"911",0.04,0.4,0.56,"H",1.57,3.6,6
"912",0.05,0.19,0.76,"H",1.95,3.3,4
"913",0.03,0.09,0.88,"H",2,3.3,3.8
"914",0.04,0.16,0.8,"H",2.2,3.3,3.3
"915",0.45,0.02,0.53,"A",2.25,3.4,3.1
"916",0.07,0.06,0.87,"H",2.4,3.2,3
"917",0.26,0.12,0.62,"H",3,3.25,2.38
"918",0,0.02,0.98,"H",1.05,13,34
"919",0.13,0.14,0.73,"H",1.8,3.5,4.5
"920",0.42,0.32,0.26,"A",2,3.4,3.75
"921",0.31,0.16,0.53,"A",2.38,3.25,3
"922",0.11,0.06,0.83,"A",1.29,5,11
"923",0.85,0.09,0.06,"D",8.5,4.75,1.36
"924",0.06,0.1,0.84,"H",1.67,3.75,5
"925",0.11,0.16,0.73,"H",2.2,3.25,3.2
"926",0.12,0.08,0.8,"H",2.8,3.25,2.5
"927",0.05,0.47,0.48,"D",1.67,3.75,5
"928",0.4,0.1,0.5,"A",2.38,3.25,3
"929",0.07,0.22,0.71,"A",2.1,3.3,3.5
"930",0.49,0.1,0.41,"D",5,3.4,1.72
"931",0.29,0.03,0.68,"A",3,3.25,2.38
"932",0.01,0.11,0.88,"H",1.11,9,21
"933",0.1,0.04,0.86,"A",1.67,3.8,5
"934",0.93,0.04,0.03,"A",8,4.5,1.4
"935",0.22,0.03,0.75,"A",2.1,3.3,3.5
"936",0.23,0.27,0.5,"A",2.1,3.3,3.5
"937",0.02,0.2,0.78,"H",1.62,3.8,5.5
"938",0.46,0.1,0.44,"H",2.1,3.3,3.5
"939",0.16,0.14,0.7,"D",2,3.4,3.75
"940",0.02,0.19,0.79,"H",1.73,3.6,4.75
"941",0.04,0.03,0.93,"H",1.73,3.5,5
"942",0.37,0,0.63,"H",2.05,3.4,3.6
"943",0.94,0.04,0.02,"A",19,7.5,1.14
"944",0.12,0.08,0.8,"H",2.25,3.25,3.2
"945",0.05,0.11,0.84,"D",1.83,3.5,4.33
"946",0.02,0.03,0.95,"H",1.75,3.5,4.5
"947",0,0.14,0.86,"H",1.4,4.5,8
"948",0.02,0.05,0.93,"H",1.06,13,26
"949",0.02,0.68,0.3,"D",2.25,3.4,3.1
"950",0.13,0.25,0.62,"A",2.7,3.2,2.63
"951",0.08,0.27,0.65,"H",1.44,4.33,7
"952",0.66,0.13,0.21,"H",2.5,3.3,2.8
"953",0.83,0.14,0.03,"A",15,6,1.2
"954",0.04,0.05,0.91,"H",1.67,3.8,5
"955",0.36,0.06,0.58,"H",2.88,3.4,2.38
"956",0.16,0.48,0.36,"D",1.5,4,7
"957",0.02,0.07,0.91,"H",2.1,3.4,3.4
"958",0.2,0.07,0.73,"H",2.6,3.3,2.63
"959",0.81,0.17,0.02,"A",1.62,4,5
"960",0.04,0.2,0.76,"H",1.8,3.6,4.33
"961",0.07,0.81,0.12,"D",1.57,3.8,6
"962",0.06,0.12,0.82,"H",2.25,3.25,3.2
"963",0.02,0.22,0.76,"D",2.25,3.25,3.2
"964",0.06,0.07,0.87,"H",1.62,3.75,5.5
"965",0.26,0.02,0.72,"A",1.57,3.6,6
"966",0.31,0.04,0.65,"H",2.2,3.4,3.2
"967",0.86,0.08,0.06,"A",9,5,1.33
"968",0.18,0.66,0.16,"D",2.3,3.25,3
"969",0.37,0.17,0.46,"H",3.2,3.4,2.2
